Date,Price (VNI),Price (MSN),Rf
,,,
31/12/2020,"1103,87","88900,00","0,0230"
30/12/2020,"1097,54","83500,00","0,0230"
29/12/2020,"1099,49","83200,00","0,0230"
28/12/2020,"1091,33","82400,00","0,0230"
25/12/2020,"1084,42","82500,00","0,0230"
24/12/2020,"1067,52","82700,00","0,0230"
23/12/2020,"1078,90","82800,00","0,0230"
22/12/2020,"1083,45","82800,00","0,0230"
21/12/2020,"1081,08","83800,00","0,0230"
18/12/2020,"1067,46","84100,00","0,0230"
17/12/2020,"1051,77","84000,00","0,0230"
16/12/2020,"1066,99","84500,00","0,0230"
15/12/2020,"1055,27","84500,00","0,0230"
14/12/2020,"1064,09","84500,00","0,0230"
11/12/2020,"1045,96","84500,00","0,0230"
10/12/2020,"1030,91","83900,00","0,0230"
9/12/2020,"1039,13","85400,00","0,0230"
8/12/2020,"1029,26","85500,00","0,0230"
7/12/2020,"1029,98","86000,00","0,0230"
4/12/2020,"1021,49","86000,00","0,0230"
3/12/2020,"1019,80","83400,00","0,0230"
2/12/2020,"1014,32","83200,00","0,0230"
1/12/2020,"1008,87","83000,00","0,0230"
30/11/2020,"1003,08","82000,00","0,0230"
27/11/2020,"1010,22","83700,00","0,0230"
26/11/2020,"1005,97","83700,00","0,0230"
25/11/2020,"999,94","82300,00","0,0230"
24/11/2020,"995,76","82000,00","0,0230"
23/11/2020,"994,19","83100,00","0,0230"
20/11/2020,"990,00","82000,00","0,0230"
19/11/2020,"983,26","82000,00","0,0230"
18/11/2020,"973,53","82900,00","0,0230"
17/11/2020,"968,90","85000,00","0,0230"
16/11/2020,"950,79","83900,00","0,0230"
13/11/2020,"966,29","90100,00","0,0230"
12/11/2020,"959,28","93100,00","0,0230"
11/11/2020,"952,22","95400,00","0,0230"
10/11/2020,"951,90","95400,00","0,0230"
9/11/2020,"951,99","95600,00","0,0230"
6/11/2020,"938,29","89900,00","0,0230"
5/11/2020,"937,75","87900,00","0,0230"
4/11/2020,"939,76","84200,00","0,0230"
3/11/2020,"935,41","84000,00","0,0230"
2/11/2020,"933,68","84500,00","0,0230"
30/10/2020,"925,47","84000,00","0,0230"
29/10/2020,"919,08","84000,00","0,0230"
28/10/2020,"921,05","86000,00","0,0230"
27/10/2020,"946,47","87900,00","0,0230"
26/10/2020,"950,80","87900,00","0,0230"
23/10/2020,"961,26","86000,00","0,0230"
22/10/2020,"949,90","85000,00","0,0230"
21/10/2020,"939,03","83700,00","0,0230"
20/10/2020,"944,42","83700,00","0,0230"
19/10/2020,"943,69","82000,00","0,0230"
16/10/2020,"943,30","80000,00","0,0230"
15/10/2020,"942,76","81100,00","0,0230"
14/10/2020,"940,18","80000,00","0,0230"
13/10/2020,"929,86","74800,00","0,0230"
12/10/2020,"925,83","70200,00","0,0230"
9/10/2020,"924,00","68100,00","0,0230"
